Site;ProfileName;part;I;erosion;yearMax
Jurien Bay Australia;Quindalup Young;0.0001587;0.346;0.0000267;100
Jurien Bay Australia;Quindalup Medium;0.0001449;0.346;0.0000267;1000
Jurien Bay Australia;Quindalup Old;0.0001469;0.286;0.0000267;6500
Jurien Bay Australia;Spearwood Young;0.0001381;0.620525;0.00004;120000
Jurien Bay Australia;Spearwood Old;0.0001555;0.62410625;0.00004;480000
Jurien Bay Australia;Bassendean;0.0001475;0.62410625;0.00004;2000000
Metaponto Italy;T0 (Lido di Metaponto);0.0001528;0.286;0.0000067;190
Metaponto Italy;T0 (Basento/Metaponto);0.0000107;0.226;0.0000067;7000
Metaponto Italy;T1 (Petrulla);0.0000582;0.23755;0.0000067;80000
Metaponto Italy;T2 (San Teodoro I);0.000064;0.23804;0.0000067;100000
Metaponto Italy;"Terrace T3; profile: San Teodoro II";0.000026;0.23545;0.0000067;120000
Metaponto Italy;T4 (MarconiaI);0.0000197;0.2372;0.0000067;195000
Metaponto Italy;T5-SE;0.0000358;0.236748387;0.0000067;310000
Metaponto Italy;T5-NW;0.0000336;0.236521212;0.0000067;330000
Metaponto Italy;T6 (Tinchi I);0.0000808;0.236750617;0.0000067;405000
Metaponto Italy;T7 (Tinchi II);0.0000846;0.236556;0.0000067;500000
Metaponto Italy;"Terrace T8; profile: Pisticci";0.0000743;0.236883478;0.0000067;575000
Metaponto Italy;"Terrace T9; profile: Bernalda";0.0000645;0.236886567;0.0000067;670000
Salamanca Spain;AM14a;0.0000384;0.26272;0.0000067;50000
Salamanca Spain;TP42;0.0000578;0.2434;0.0000067;400000
Salamanca Spain;TF63a;0.0000523;0.27882;0.0000067;600000
Ebro Basin northeastern Spain;Qt7;0.0001318;0.2;0.0000067;25
Ebro Basin northeastern Spain;Qt6;0.0000447;0.1;0.0000067;1000
Ebro Basin northeastern Spain;Qt5;0.0001088;0.1;0.0000067;11000
Ebro Basin northeastern Spain;Qt4;0.0000692;0.214285714;0.0000067;49000
Ebro Basin northeastern Spain;Qt3;0.0000912;0.194375;0.0000067;64000
Ebro Basin northeastern Spain;Qt2;0.0000306;0.193522727;0.0000067;176000
Ebro Basin northeastern Spain;Qt1;0.0000276;0.193283582;0.0000067;780000
San Joaquin Valley California;PM12;0.0000801;0.12;0.0000067;400
San Joaquin Valley California;PM11;0.0000548;0.12;0.0000067;3000
San Joaquin Valley California;M41;0.0000776;0.12;0.0000067;14000
San Joaquin Valley California;M42;0.0000324;0.228;0.0000067;70000
San Joaquin Valley California;R28;0.0000295;0.203642857;0.0000067;140000
San Joaquin Valley California;R29;0.0000374;0.20072;0.0000067;250000
Cajon Cree California;RW-9;0.0001317;0.26;0.0000067;47
Cajon Cree California;RW-18;0.0000998;0.26;0.0000067;275
Cajon Cree California;RW-10;0.0001373;0.26;0.0000067;275
Cajon Cree California;RW-12;0.0001239;0.26;0.0000067;5900
Cajon Cree California;RW-15;0.0000949;0.26;0.0000067;7150
Cajon Cree California;RW-13;0.000098;0.26;0.0000067;8350
Cajon Cree California;RW-6;0.000105;0.26;0.0000067;11500
Cajon Cree California;RW-17;0.0000821;0.26;0.0000067;12400
Cajon Cree California;RW-11;0.0000822;0.566909091;0.0000267;55000
Cajon Cree California;RW-14;0.000063;0.589266667;0.0000267;500000
Cape Mendocino and Punta Gorda;Pedon 1;0.0001052;2.3;0.0000467;3900
Cape Mendocino and Punta Gorda;Pedon 2;0.0000725;2.679310345;0.0000667;29000
Cape Mendocino and Punta Gorda;Pedon 3;0.000043;2.905;0.0000667;40000
Cape Mendocino and Punta Gorda;Pedon 4a;0.000015;3.047580645;0.0000667;124000
Cape Mendocino and Punta Gorda;Pedon 4b;0.0000216;3.047580645;0.0000667;124000
Cape Mendocino and Punta Gorda;Pedon 5;0.0000361;3.01125;0.0000667;240000
Almar River Spain;AM4;0.0001233;0.224;0.0000067;500
Almar River Spain;AM7;0.0000517;0.124;0.0000067;10000
Almar River Spain;AM14;0.0000468;0.32672;0.0000067;50000
Almar River Spain;AM18a;0.0000477;0.39336;0.0000067;100000
Almar River Spain;AM18b;0.0000335;0.39336;0.0000067;100000
Almar River Spain;AM36;0.0000553;0.34576;0.0000067;300000
Almar River Spain;AM47;0.0000515;0.342904;0.0000067;500000
Almar River Spain;AM64;0.0000287;0.354486667;0.0000067;600000
Guadalquivir River Spain;Profile 1;0.0000378;0.1665;0.0000067;600000
Guadalquivir River Spain;Profile 2;0.0000158;0.172;0.0000067;300000
Guadalquivir River Spain;Profile 3;0.0000378;0.4;0.0000067;70000
Guadalquivir River Spain;Profile 4;0.0000282;0.4;0.0000067;7000
Guadalquivir River Spain;Profile 5;0.0000315;0.5;0.0000067;300
Marin terraces California;Santa Cruz Terrace;0.0001063;1.293333333;0.0000267;105000
Marin terraces California;Wilder Terrace;0.0000576;1.207567568;0.0000267;370000
Marin terraces California;Blackrock Terrace;0.0000535;1.207346939;0.0000267;490000
Marin terraces California;Quarry Terrace;0.0000619;1.222666667;0.0000267;600000
San Clemente Island;AF-1;0.0000214;0.09;0.0000067;2905
San Clemente Island;MT-1A;0.000028;0.189736527;0.0000067;83500
San Clemente Island;MT-1B;0.0000206;0.189736527;0.0000067;83500
San Clemente Island;MT-2A;0.0000115;0.159165354;0.0000067;127000
San Clemente Island;MT-2B;0.0000299;0.159165354;0.0000067;127000
San Clemente Island;MT-2C;0.0000106;0.159165354;0.0000067;127000
San Clemente Island;MT-2D;0.0000091;0.159165354;0.0000067;127000
San Clemente Island;MT-3;0.0000184;0.164167742;0.0000067;232500
San Clemente Island;MT-4;0.0000113;0.172185366;0.0000067;307500
San Clemente Island;MT-5;0.000011;0.166656287;0.0000067;417500
San Clemente Island;MT-7;0.0000116;0.178032;0.0000067;750000
San Clemente Island;MT-8;0.000021;0.178032;0.0000067;1000000
San Clemente Island;MT-9;0.0000155;0.178032;0.0000067;1150000
Ventura California;V2;0.0000726;0.2;0.00002;700
Ventura California;V7;0.0001486;0.2;0.00002;700
Ventura California;V1;0.0000602;0.2;0.00002;2000
Ventura California;V6;0.0000386;0.2;0.00002;2000
Ventura California;V4 ;0.0000237;0.334;0.00002;40000
Ventura California;V5 ;0.0000357;0.334;0.00002;40000
Ventura California;V5N;0.0000436;0.334;0.00002;40000
Ventura California;VB;0.0000266;0.397;0.00002;80000
Ventura California;V9;0.0000307;0.397;0.00002;80000
Ventura California;V3;0.0000975;0.397;0.00002;80000
Ventura California;V10;0.0000751;0.397;0.00002;80000
Sicily;Ferla 5;0.00001245;0.21;6.67E-06;1140000
Sicily;Saline Ettore Infersa;0.00009296;0.026;6.67E-06;68000
Sicily;San Giuliano;0.00013778;0.088;0.00002;11700
